,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko
jokowi,0,inf,inf,5718.666748,inf,46867.77734,305,50425.77734,2330,inf
detikcom,601891.1641,0,inf,6385.5,inf,88321.16406,1159,91879.16406,604221.1641,inf
kompascom,561547.7773,inf,0,6024.75,inf,47977.77734,561852.7773,51535.77734,3440,inf
ganjarpranowo,595505.6641,inf,inf,0,inf,81935.66406,595810.6641,85493.66406,597835.6641,inf
KKMPutrajaya,inf,inf,inf,inf,0,inf,inf,inf,inf,inf
KPK_RI,513570,inf,inf,519288.6667,inf,0,513875,3558,515900,inf
CNNIndonesia,601915.9976,inf,inf,6410.333496,inf,88345.99756,0,91903.99756,604245.9976,inf
aniesbaswedan,inf,inf,inf,inf,inf,inf,inf,0,inf,inf
KompasTV,558107.7773,inf,inf,3388.666748,inf,44537.77734,558412.7773,48095.77734,0,inf
budimandjatmiko,562529.7773,inf,inf,7810.666748,inf,48959.77734,562834.7773,52517.77734,4422,0
