,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews,501Awani,kumparan,Metro_TV,tempodotco,DivHumas_Polri,KemenkesRI,DGHisham,TirtoID,liputan6dotcom,republikaonline,drzul_albakri,VIVAcoid,korantempo,SyedSaddiq,BBCIndonesia,KemensetnegRI,Khairykj,setkabgoid,antaranews,KawalCOVID19,RadioElshinta,kemkominfo,nu_online,tni_ad,addiems,tribunnews,mediaindonesia,Beritasatu,blogdokter,fadjroeL,XavierNaxa,hariankompas,JKJAVMY,tjhinfar21,bharianmy,KemenkeuRI,YRadianto,TRANS7,Kemenag_RI
jokowi,0.0,inf,inf,5587.666748046875,27873.0,46736.77734375,305.0,50294.77734375,2199.0,inf,2258.0,12616.0,inf,49314.69140625,inf,163973.0,1226.0,73340.0,244202.27734375,inf,inf,22299.0,2288.0,inf,228934.21875,81201.8359375,1286.0,169547.71875,43427.3828125,1424.0,10109.0,inf,53825.5,62253.77734375,1394.0,inf,352.0,304.0,inf,49206.69140625,19158.099609375,241296.765625,inf,inf,1965.0,inf,57179.5,inf,4564.33349609375,63582.77734375
detikcom,308576.9140625,0.0,inf,6385.5,336449.9140625,47590.77734375,1159.0,51148.77734375,3053.0,inf,1722.0,321192.9140625,inf,51257.69140625,inf,163437.0,2080.0,381916.9140625,245056.27734375,inf,inf,330875.9140625,1752.0,inf,269892.27734375,83144.8359375,2140.0,210505.77734375,45370.3828125,2278.0,10963.0,inf,54679.5,63107.77734375,858.0,inf,308928.9140625,2247.0,inf,50060.69140625,21101.099609375,433590.27734375,inf,inf,1429.0,inf,58033.5,inf,5418.33349609375,64436.77734375
kompascom,308294.875,inf,0.0,6024.75,336167.875,47846.77734375,308599.875,51404.77734375,3309.0,inf,2428.0,320910.875,inf,51963.69140625,inf,164143.0,2336.0,381634.875,245312.27734375,inf,inf,330593.875,2458.0,inf,270148.27734375,83850.8359375,2396.0,210761.77734375,45088.34375,2534.0,12929.2861328125,inf,54935.5,63363.77734375,1564.0,inf,1462.0,2953.0,inf,50316.69140625,20769.966796875,433846.27734375,inf,inf,1221.0,inf,58289.5,inf,312859.20849609375,64692.77734375
ganjarpranowo,410797.509765625,inf,inf,0.0,438670.509765625,80339.166015625,411102.509765625,83897.166015625,412996.509765625,inf,413055.509765625,423413.509765625,inf,96187.166015625,inf,574770.509765625,412023.509765625,484137.509765625,277804.666015625,inf,inf,433096.509765625,413085.509765625,inf,302640.666015625,138707.166015625,412083.509765625,243254.166015625,454224.892578125,412221.509765625,420906.509765625,inf,464623.009765625,95856.166015625,412191.509765625,inf,411149.509765625,411101.509765625,inf,460004.201171875,26144.666015625,466338.666015625,inf,inf,412762.509765625,inf,467977.009765625,inf,415361.84326171875,97185.166015625
KKMPutrajaya,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,239923.5,inf,inf,180537.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,403621.5,inf,inf,inf,inf,inf,inf,inf,inf
KPK_RI,330458.34375,inf,inf,336046.0104980469,358331.34375,0.0,330763.34375,3558.0,332657.34375,inf,332716.34375,343074.34375,inf,15848.0,inf,494431.34375,331684.34375,403798.34375,197465.5,inf,inf,352757.34375,332746.34375,inf,222301.5,58368.0,331744.34375,162915.0,373885.7265625,331882.34375,340567.34375,inf,384283.84375,15517.0,331852.34375,inf,330810.34375,330762.34375,inf,379665.03515625,349616.443359375,385999.5,inf,inf,332423.34375,inf,387637.84375,inf,335022.67724609375,16846.0
CNNIndonesia,324537.53125,inf,inf,5413.666748046875,352410.53125,46562.77734375,0.0,50120.77734375,2025.0,inf,326795.53125,337153.53125,inf,62410.77734375,inf,488510.53125,325763.53125,397877.53125,244028.27734375,inf,inf,346836.53125,326825.53125,inf,268864.27734375,91405.5234375,981.0,209477.77734375,61331.0,1250.0,9804.0,inf,53520.5,62079.77734375,325931.53125,inf,324889.53125,324841.53125,inf,51198.0,21427.142578125,432562.27734375,inf,inf,326502.53125,inf,56874.5,inf,4259.33349609375,63408.77734375
aniesbaswedan,326900.34375,inf,inf,332488.0104980469,354773.34375,373637.12109375,327205.34375,0.0,329099.34375,inf,329158.34375,339516.34375,inf,12290.0,inf,490873.34375,328126.34375,400240.34375,193907.5,inf,inf,349199.34375,329188.34375,inf,218743.5,54810.0,328186.34375,159357.0,370327.7265625,328324.34375,337009.34375,inf,380725.84375,11959.0,328294.34375,inf,327252.34375,327204.34375,inf,376107.03515625,346058.443359375,382441.5,inf,inf,328865.34375,inf,384079.84375,inf,331464.67724609375,13288.0
KompasTV,374996.12109375,inf,inf,3388.666748046875,402869.12109375,44537.77734375,375301.12109375,48095.77734375,0.0,inf,377254.12109375,387612.12109375,inf,60385.77734375,inf,538969.12109375,376222.12109375,448336.12109375,242003.27734375,inf,inf,397295.12109375,377284.12109375,inf,266839.27734375,89380.5234375,376282.12109375,207452.77734375,418423.50390625,376420.12109375,9620.2861328125,inf,428821.62109375,60054.77734375,376390.12109375,inf,375348.12109375,375300.12109375,inf,51014.2861328125,22092.5546875,430537.27734375,inf,inf,376961.12109375,inf,432175.62109375,inf,379560.45458984375,61383.77734375
budimandjatmiko,314802.22265625,inf,inf,7679.666748046875,342675.22265625,48828.77734375,315107.22265625,52386.77734375,4291.0,0.0,317060.22265625,327418.22265625,inf,64676.77734375,inf,478775.22265625,3318.0,388142.22265625,246294.27734375,inf,inf,337101.22265625,317090.22265625,inf,271130.27734375,91607.5,3378.0,211743.77734375,51595.69140625,3516.0,13911.2861328125,inf,55917.5,64345.77734375,316196.22265625,inf,2444.0,315106.22265625,inf,51298.69140625,26383.5546875,434828.27734375,inf,inf,1578.0,inf,59271.5,inf,319366.55615234375,65674.77734375
