count,from,to,timeframe,start,end
1,koboykop,kaskus,1,2021-01-24 01:17:27,2021-01-31 04:55:30
2,tribun_jakarta,tribunnews,2,2021-01-24 01:57:41,2021-01-31 04:55:30
3,purnomowardoyo,ekomulyantoro3,3,2021-01-24 02:04:08,2021-01-31 04:55:30
4,purnomowardoyo,jeparapolres,3,2021-01-24 02:04:08,2021-01-31 04:55:30
5,purnomowardoyo,divhumas_polri,3,2021-01-24 02:04:08,2021-01-31 04:55:30
6,purnomowardoyo,jeparakabgoid,3,2021-01-24 02:04:08,2021-01-31 04:55:30
7,purnomowardoyo,poldajateng_,3,2021-01-24 02:04:08,2021-01-31 04:55:30
8,purnomowardoyo,dprdjepara,3,2021-01-24 02:04:08,2021-01-31 04:55:30
9,nadinhang,jokowi,4,2021-01-24 02:04:44,2021-01-31 04:55:30
10,tribun_solo,tribun_solo,5,2021-01-24 02:19:03,2021-01-31 04:55:30
11,tribun_solo,tribun_solo,6,2021-01-24 02:21:02,2021-01-31 04:55:30
12,sonorafm92,kompascom,7,2021-01-24 02:24:12,2021-01-31 04:55:30
13,suara_tv,suara_tv,8,2021-01-24 02:25:37,2021-01-31 04:55:30
14,airinairin_nz,ganjarpranowo,9,2021-01-24 02:34:10,2021-01-31 04:55:30
15,sukoharjos,polisisukoharjo,10,2021-01-24 02:45:06,2021-01-31 04:55:30
16,fadjroel,kemenkesri,11,2021-01-24 02:55:38,2021-01-31 04:55:30
17,murianewscom,murianewscom,12,2021-01-24 02:56:48,2021-01-31 04:55:30
18,nasdem,martinmanurung,13,2021-01-24 03:00:38,2021-01-31 04:55:30
19,purnomowardoyo,ekomulyantoro3,14,2021-01-24 03:04:46,2021-01-31 04:55:30
20,kangfathannow,cakiminow,15,2021-01-24 03:06:15,2021-01-31 04:55:30
21,vaneshalampung,jokowi,16,2021-01-24 03:13:23,2021-01-31 04:55:30
22,tintasiyasi_id,kangagungwisnu,17,2021-01-24 03:26:52,2021-01-31 04:55:30
23,rbonafida,jokowi,18,2021-01-24 03:37:25,2021-01-31 04:55:30
24,vaneshalampung,jokowi,19,2021-01-24 03:41:44,2021-01-31 04:55:30
25,radioelshinta,perekonomianri,20,2021-01-24 03:59:51,2021-01-31 04:55:30
26,diskomkabbekasi,ekasupriatmaja,21,2021-01-24 04:07:02,2021-01-31 04:55:30
27,diskomkabbekasi,pemkabekasi,21,2021-01-24 04:07:02,2021-01-31 04:55:30
28,syakirasyakir,lawancovid19_id,22,2021-01-24 04:45:07,2021-01-31 04:55:30
29,indopolitika,indopolitika,23,2021-01-24 04:57:48,2021-01-31 04:55:30
30,tribunbanten,tribunnews,24,2021-01-24 05:10:16,2021-01-31 04:55:30
31,monitorcoid,monitorcoid,25,2021-01-24 05:14:27,2021-01-31 04:55:30
32,indonesiainbih,roemkono_id,26,2021-01-24 05:20:54,2021-01-31 04:55:30
33,msiahariini,kkmputrajaya,27,2021-01-24 05:25:40,2021-01-31 04:55:30
34,msiahariini,officialmosti,27,2021-01-24 05:25:40,2021-01-31 04:55:30
35,msiahariini,jpmgov_,27,2021-01-24 05:25:40,2021-01-31 04:55:30
36,msiahariini,myjakim,27,2021-01-24 05:25:40,2021-01-31 04:55:30
37,msiahariini,drzul_albakri,27,2021-01-24 05:25:40,2021-01-31 04:55:30
38,patinewscom,resorpati,28,2021-01-24 05:34:22,2021-01-31 04:55:30
39,patinewscom,divhumas_polri,28,2021-01-24 05:34:22,2021-01-31 04:55:30
40,patinewscom,poldajateng_,28,2021-01-24 05:34:22,2021-01-31 04:55:30
41,hs_saut,jokowi,29,2021-01-24 05:50:00,2021-01-31 04:55:30
42,ferdymad,sociotalker,30,2021-01-24 05:50:27,2021-01-31 04:55:30
43,ferdymad,drdickybudiman,30,2021-01-24 05:50:27,2021-01-31 04:55:30
44,ferdymad,aik_arif,30,2021-01-24 05:50:27,2021-01-31 04:55:30
45,ferdymad,drpriono1,30,2021-01-24 05:50:27,2021-01-31 04:55:30
46,hs_saut,jokowi,31,2021-01-24 05:59:11,2021-01-31 04:55:30
47,acuantodaycom,prabowo,32,2021-01-24 06:00:01,2021-01-31 04:55:30
48,melakafm,rtm_malaysia,33,2021-01-24 06:06:14,2021-01-31 04:55:30
49,ratihtv,youtube,34,2021-01-24 06:14:12,2021-01-31 04:55:30
50,dr_riezkie,pbidi,35,2021-01-24 06:20:44,2021-01-31 04:55:30
51,dr_riezkie,kemenkesri,35,2021-01-24 06:20:44,2021-01-31 04:55:30
52,colinrohankw,jokowi,36,2021-01-24 06:24:14,2021-01-31 04:55:30
53,infopewarta,pendim_tegal,37,2021-01-24 06:25:00,2021-01-31 04:55:30
54,infopewarta,dinkesjateng,37,2021-01-24 06:25:00,2021-01-31 04:55:30
55,infopewarta,lantasrestatega,37,2021-01-24 06:25:00,2021-01-31 04:55:30
56,infopewarta,pemkabbrebes,37,2021-01-24 06:25:00,2021-01-31 04:55:30
57,infopewarta,polrestegalkab,37,2021-01-24 06:25:00,2021-01-31 04:55:30
58,infopewarta,humastegalkab,37,2021-01-24 06:25:00,2021-01-31 04:55:30
59,infopewarta,mjjumadi,37,2021-01-24 06:25:00,2021-01-31 04:55:30
60,infopewarta,pemkottegal,37,2021-01-24 06:25:00,2021-01-31 04:55:30
61,infopewarta,detak_channel,37,2021-01-24 06:25:00,2021-01-31 04:55:30
62,vanessanotangel,jokowi,38,2021-01-24 06:43:46,2021-01-31 04:55:30
63,diskominfoss,ach_rizwan,39,2021-01-24 07:00:46,2021-01-31 04:55:30
64,diskominfoss,hermanderu1967,39,2021-01-24 07:00:46,2021-01-31 04:55:30
65,diskominfoss,perchaderu,39,2021-01-24 07:00:46,2021-01-31 04:55:30
66,kabar_tangsel,kabar_tangsel,40,2021-01-24 07:10:58,2021-01-31 04:55:30
67,perjakatanggun4,aan_hantorov,41,2021-01-24 07:16:38,2021-01-31 04:55:30
68,perjakatanggun4,linnasution,41,2021-01-24 07:16:38,2021-01-31 04:55:30
69,perjakatanggun4,ulinyusron,41,2021-01-24 07:16:38,2021-01-31 04:55:30
70,perjakatanggun4,agit2530,41,2021-01-24 07:16:38,2021-01-31 04:55:30
71,perjakatanggun4,dionbonjovi181,41,2021-01-24 07:16:38,2021-01-31 04:55:30
72,perjakatanggun4,murtadhaone1,41,2021-01-24 07:16:38,2021-01-31 04:55:30
