count,from,to,timeframe,start,end
1,ansharullahmd,ansharullahmd,1,2021-01-24 01:10:24,2021-01-31 04:55:30
2,kemenkesri,kemenkesri,2,2021-01-24 01:11:41,2021-01-31 04:55:30
3,kemenkesri,kemenkesri,3,2021-01-24 01:13:16,2021-01-31 04:55:30
4,kemenkesri,kemenkesri,4,2021-01-24 01:22:32,2021-01-31 04:55:30
5,indria_vitri,hrdbacot,5,2021-01-24 01:25:07,2021-01-31 04:55:30
6,denresched,rodrichen,6,2021-01-24 01:25:49,2021-01-31 04:55:30
7,donjoan86067973,andiw98857218,7,2021-01-24 01:26:38,2021-01-31 04:55:30
8,nurrulainii,gitasuhartono,8,2021-01-24 01:38:34,2021-01-31 04:55:30
9,pemkabekasi,pemkabekasi,9,2021-01-24 01:40:38,2021-01-31 04:55:30
10,m_ariefs,dayatia,10,2021-01-24 01:48:10,2021-01-31 04:55:30
11,faridafa01,drpriono1,11,2021-01-24 01:51:03,2021-01-31 04:55:30
12,atoillah__,mooniyy,12,2021-01-24 01:53:48,2021-01-31 04:55:30
13,sukasukagueyah,sukasukagueyah,13,2021-01-24 02:01:34,2021-01-31 04:55:30
14,denresched,denresched,14,2021-01-24 02:17:18,2021-01-31 04:55:30
15,tulipkuning5,reynold_prima,15,2021-01-24 02:20:45,2021-01-31 04:55:30
16,denresched,denresched,16,2021-01-24 02:21:40,2021-01-31 04:55:30
17,gokpin,omindrapratama,17,2021-01-24 02:24:33,2021-01-31 04:55:30
18,idn_username,anggasasongko,18,2021-01-24 02:25:34,2021-01-31 04:55:30
19,1404stj,kemenkesri,19,2021-01-24 02:29:07,2021-01-31 04:55:30
20,aayudi8,mohmahfudmd,20,2021-01-24 02:34:06,2021-01-31 04:55:30
21,kunangk60220166,tirta_hudhi,21,2021-01-24 02:37:56,2021-01-31 04:55:30
22,rodrichen,rodrichen,22,2021-01-24 02:47:22,2021-01-31 04:55:30
23,nasdem,nasdem,23,2021-01-24 03:00:38,2021-01-31 04:55:30
24,kemenkesri,kemenkesri,24,2021-01-24 03:16:08,2021-01-31 04:55:30
25,kemenkesri,kemenkesri,25,2021-01-24 03:19:18,2021-01-31 04:55:30
26,adityasani,fitorio,26,2021-01-24 03:51:31,2021-01-31 04:55:30
27,jatengopini,jatengopini,27,2021-01-24 03:53:38,2021-01-31 04:55:30
28,jatengopini,jatengopini,28,2021-01-24 03:53:40,2021-01-31 04:55:30
29,jatengopini,jatengopini,28,2021-01-24 03:53:40,2021-01-31 04:55:30
30,harunya76365587,geloraco,29,2021-01-24 03:56:42,2021-01-31 04:55:30
31,emasulthon,prastow,30,2021-01-24 03:56:58,2021-01-31 04:55:30
32,en_blue_bird,moonsyi,31,2021-01-24 03:59:11,2021-01-31 04:55:30
33,ahmadiyekwam,kemenkesri,32,2021-01-24 04:00:44,2021-01-31 04:55:30
34,nabilaazkahh,hendris90,33,2021-01-24 04:02:03,2021-01-31 04:55:30
35,baradatu5,anggita_hut,34,2021-01-24 04:02:26,2021-01-31 04:55:30
36,abnormale13,anggita_hut,35,2021-01-24 04:04:58,2021-01-31 04:55:30
37,kemenkesri,kemenkesri,36,2021-01-24 04:06:39,2021-01-31 04:55:30
38,diskomkabbekasi,diskomkabbekasi,37,2021-01-24 04:07:03,2021-01-31 04:55:30
39,ivanprimao,putraerlangga_,38,2021-01-24 04:39:57,2021-01-31 04:55:30
40,zulfairy1,singgahsini_idn,39,2021-01-24 04:42:07,2021-01-31 04:55:30
41,secondasese,jark_doke,40,2021-01-24 04:56:00,2021-01-31 04:55:30
42,tukangp31522672,andre_rosiade,41,2021-01-24 04:56:51,2021-01-31 04:55:30
43,faisal35620799,irhaziqhafeez,42,2021-01-24 04:58:00,2021-01-31 04:55:30
44,gilang_mahesa,gilang_mahesa,43,2021-01-24 04:58:43,2021-01-31 04:55:30
45,kompascom,kompascom,44,2021-01-24 05:07:44,2021-01-31 04:55:30
46,kompascom,kompascom,45,2021-01-24 05:08:40,2021-01-31 04:55:30
