count,from,to,timeframe,start,end
1,kbnpersero,kbnpersero,1,2021-02-01 04:00:09,2021-02-15 09:55:06
2,eminasurtina,eminasurtina,2,2021-02-01 04:00:16,2021-02-15 09:55:06
3,briuntukid,briuntukid,3,2021-02-01 04:00:17,2021-02-15 09:55:06
4,eminasurtina,eminasurtina,4,2021-02-01 04:00:19,2021-02-15 09:55:06
5,gas_negara,gas_negara,5,2021-02-01 04:01:36,2021-02-15 09:55:06
6,ptmuntukidn,ptmuntukidn,6,2021-02-01 04:02:33,2021-02-15 09:55:06
7,telkomuntukidn,telkomuntukidn,7,2021-02-01 04:04:48,2021-02-15 09:55:06
8,bki_1964,bki_1964,8,2021-02-01 04:06:45,2021-02-15 09:55:06
9,aisyah_ajja1,tonykojansow,9,2021-02-01 04:08:09,2021-02-15 09:55:06
10,burungpiyak,tonykojansow,10,2021-02-01 04:08:52,2021-02-15 09:55:06
11,bni,bni,11,2021-02-01 04:10:58,2021-02-15 09:55:06
12,pihc_untukid,pihc_untukid,12,2021-02-01 04:12:47,2021-02-15 09:55:06
13,plnuntukidn,plnuntukidn,13,2021-02-01 04:12:57,2021-02-15 09:55:06
14,kaiuntukidn,kaiuntukidn,14,2021-02-01 04:13:02,2021-02-15 09:55:06
15,kaiuntukidn,kaiuntukidn,15,2021-02-01 04:13:03,2021-02-15 09:55:06
16,nisamelanie1,jah_nazari,15,2021-02-01 04:13:03,2021-02-15 09:55:06
17,nununana772,tonykojansow,16,2021-02-01 04:15:03,2021-02-15 09:55:06
18,webptoon,tonykojansow,17,2021-02-01 04:15:16,2021-02-15 09:55:06
19,pplsidegirl,tonykojansow,18,2021-02-01 04:25:57,2021-02-15 09:55:06
20,kai_sumiyoshi,kai_sumiyoshi,19,2021-02-01 04:26:42,2021-02-15 09:55:06
21,kai_sumiyoshi,kai_sumiyoshi,20,2021-02-01 04:26:49,2021-02-15 09:55:06
22,pindad,pindad,21,2021-02-01 04:27:52,2021-02-15 09:55:06
23,nyraaam,jah_nazari,22,2021-02-01 04:29:22,2021-02-15 09:55:06
24,nununana772,jah_nazari,23,2021-02-01 04:29:33,2021-02-15 09:55:06
25,mandiriupdate,mandiriupdate,24,2021-02-01 04:36:19,2021-02-15 09:55:06
26,ptbalaipustaka,ptbalaipustaka,25,2021-02-01 04:37:20,2021-02-15 09:55:06
27,indigoingbanana,kikinmakecilku,26,2021-02-01 04:37:55,2021-02-15 09:55:06
28,nurdinabdullahh,nurdinabdullahh,27,2021-02-01 04:38:13,2021-02-15 09:55:06
29,dusapanlandu,dusapanlandu,28,2021-02-01 04:39:37,2021-02-15 09:55:06
30,dusapanlandu,dusapanlandu,29,2021-02-01 04:39:47,2021-02-15 09:55:06
31,mnalfiani,mnalfiani,30,2021-02-01 04:51:34,2021-02-15 09:55:06
32,itdc_id,itdc_id,31,2021-02-01 04:52:36,2021-02-15 09:55:06
33,ariessetiadi,ariessetiadi,32,2021-02-01 04:55:29,2021-02-15 09:55:06
34,ariessetiadi,ariessetiadi,32,2021-02-01 04:55:29,2021-02-15 09:55:06
35,damriindonesia,damriindonesia,33,2021-02-01 05:01:33,2021-02-15 09:55:06
36,ryan__namaku,bnpb_indonesia,34,2021-02-01 05:03:50,2021-02-15 09:55:06
37,smbruntukidn,smbruntukidn,35,2021-02-01 05:11:50,2021-02-15 09:55:06
38,infokompmk,infokompmk,36,2021-02-01 05:23:15,2021-02-15 09:55:06
39,kaefuntukidn,kaefuntukidn,37,2021-02-01 05:23:48,2021-02-15 09:55:06
40,asabri_official,asabri_official,38,2021-02-01 05:31:15,2021-02-15 09:55:06
41,turnbackhoax,turnbackhoax,39,2021-02-01 06:30:19,2021-02-15 09:55:06
42,bpom_ri,bpom_ri,40,2021-02-01 06:32:14,2021-02-15 09:55:06
43,adamghiffari5,jokowi,41,2021-02-01 06:36:15,2021-02-15 09:55:06
44,pt_vtp,pt_vtp,42,2021-02-01 06:39:44,2021-02-15 09:55:06
45,pelindo4u,pelindo4u,43,2021-02-01 06:51:23,2021-02-15 09:55:06
46,kemenkesri,kemenkesri,44,2021-02-01 07:02:32,2021-02-15 09:55:06
47,kemenkesri,kemenkesri,45,2021-02-01 07:03:59,2021-02-15 09:55:06
48,kemenkesri,kemenkesri,46,2021-02-01 07:05:42,2021-02-15 09:55:06
49,yezyurun,ibrahimcruise,47,2021-02-01 07:14:01,2021-02-15 09:55:06
50,lathifaanshori,lathifaanshori,48,2021-02-01 07:24:22,2021-02-15 09:55:06
51,2shotsamericano,loveliestmark,49,2021-02-01 07:33:29,2021-02-15 09:55:06
52,buloguntukindo1,buloguntukindo1,50,2021-02-01 07:51:10,2021-02-15 09:55:06
53,1404stj,1404stj,51,2021-02-01 07:52:59,2021-02-15 09:55:06
54,bpomsofifi,bpomsofifi,52,2021-02-01 08:02:14,2021-02-15 09:55:06
55,agungsuhanadi,jokowi,53,2021-02-01 09:01:13,2021-02-15 09:55:06
56,sucofindo,sucofindo,54,2021-02-01 10:12:49,2021-02-15 09:55:06
57,ceasarru,ceasarru,55,2021-02-01 11:02:46,2021-02-15 09:55:06
58,fikri_bamahry,yudhagaring,56,2021-02-01 11:22:14,2021-02-15 09:55:06
59,politikuslucu,politikuslucu,57,2021-02-01 12:17:03,2021-02-15 09:55:06
60,politikuslucu,politikuslucu,58,2021-02-01 12:17:11,2021-02-15 09:55:06
61,politikuslucu,politikuslucu,59,2021-02-01 12:17:32,2021-02-15 09:55:06
62,politikuslucu,politikuslucu,60,2021-02-01 12:17:45,2021-02-15 09:55:06
63,politikuslucu,politikuslucu,61,2021-02-01 12:17:55,2021-02-15 09:55:06
64,politikuslucu,politikuslucu,62,2021-02-01 12:18:08,2021-02-15 09:55:06
65,politikuslucu,politikuslucu,63,2021-02-01 12:18:25,2021-02-15 09:55:06
66,hanyaisme,hanyaisme,64,2021-02-01 12:18:57,2021-02-15 09:55:06
67,hanyaisme,hanyaisme,65,2021-02-01 12:19:05,2021-02-15 09:55:06
68,hanyaisme,hanyaisme,66,2021-02-01 12:19:21,2021-02-15 09:55:06
69,hanyaisme,hanyaisme,67,2021-02-01 12:19:36,2021-02-15 09:55:06
