count,from,to,timeframe,start,end
1,rbimoyu,khairykj,1,2021-06-12 06:44:49,2021-06-20 11:53:31
2,rbimoyu,jkjavmy,1,2021-06-12 06:44:49,2021-06-20 11:53:31
3,rbimoyu,kkm,1,2021-06-12 06:44:49,2021-06-20 11:53:31
4,naydonuts,my_lovenebe,2,2021-06-12 06:59:32,2021-06-20 11:53:31
5,naydonuts,ninjacir3ng,2,2021-06-12 06:59:32,2021-06-20 11:53:31
6,naydonuts,bl4rrrrr,2,2021-06-12 06:59:32,2021-06-20 11:53:31
7,_mediasiber,kabarterkini,3,2021-06-12 07:18:04,2021-06-20 11:53:31
8,_ekopri,satgascovid19id,4,2021-06-12 07:31:24,2021-06-20 11:53:31
9,_ekopri,budigsadikin,4,2021-06-12 07:31:24,2021-06-20 11:53:31
10,_ekopri,jokowi,4,2021-06-12 07:31:24,2021-06-20 11:53:31
11,_ekopri,ridwankamil,4,2021-06-12 07:31:24,2021-06-20 11:53:31
12,_ekopri,bimaaryas,4,2021-06-12 07:31:24,2021-06-20 11:53:31
13,_ekopri,dinkes_bogor,4,2021-06-12 07:31:24,2021-06-20 11:53:31
14,_ekopri,kemenkesri,4,2021-06-12 07:31:24,2021-06-20 11:53:31
15,mdgunawan1,tppkemendes,5,2021-06-12 07:39:30,2021-06-20 11:53:31
16,mdgunawan1,kemendesapdtt,5,2021-06-12 07:39:30,2021-06-20 11:53:31
17,mdgunawan1,taufikmadjid71,5,2021-06-12 07:39:30,2021-06-20 11:53:31
18,mdgunawan1,yusradaridesa,5,2021-06-12 07:39:30,2021-06-20 11:53:31
19,mdgunawan1,halimiskandarnu,5,2021-06-12 07:39:30,2021-06-20 11:53:31
20,mdgunawan1,malik_haramain,5,2021-06-12 07:39:30,2021-06-20 11:53:31
21,iamlogan95,nasdem,6,2021-06-12 07:42:19,2021-06-20 11:53:31
22,rtm_malaysia,myhealthkkm,7,2021-06-12 07:45:00,2021-06-20 11:53:31
23,ewibowo475,tangeranglive,8,2021-06-12 07:52:10,2021-06-20 11:53:31
24,wartapedianet,puspen_tni,9,2021-06-12 07:56:15,2021-06-20 11:53:31
25,wartapedianet,divhumas_polri,9,2021-06-12 07:56:15,2021-06-20 11:53:31
26,wartapedianet,humaspoldajatim,9,2021-06-12 07:56:15,2021-06-20 11:53:31
27,wartapedianet,korem084bj,9,2021-06-12 07:56:15,2021-06-20 11:53:31
28,wartapedianet,polrestabessby,9,2021-06-12 07:56:15,2021-06-20 11:53:31
29,wartapedianet,wartapedianet,9,2021-06-12 07:56:15,2021-06-20 11:53:31
30,wartapedianet,djoko_sonny,9,2021-06-12 07:56:15,2021-06-20 11:53:31
31,wartapedianet,humasresbkl,9,2021-06-12 07:56:15,2021-06-20 11:53:31
32,wartapedianet,pendam5,9,2021-06-12 07:56:15,2021-06-20 11:53:31
33,radar_malang,infomalang,10,2021-06-12 08:03:16,2021-06-20 11:53:31
34,bellazyna,jaan_indonesia,11,2021-06-12 08:08:58,2021-06-20 11:53:31
35,polreshsu,divhumaspolri,12,2021-06-12 08:28:52,2021-06-20 11:53:31
36,beritatv9,youtube,13,2021-06-12 08:29:15,2021-06-20 11:53:31
37,teropongmetro,teropongmetro,14,2021-06-12 08:29:34,2021-06-20 11:53:31
38,keziaam0ur,null,15,2021-06-12 08:40:17,2021-06-20 11:53:31
39,iambadung,chroniclea3,16,2021-06-12 08:41:03,2021-06-20 11:53:31
40,liem_jaya,prfmnews,17,2021-06-12 08:47:36,2021-06-20 11:53:31
41,bangsukat,aguss4494,18,2021-06-12 08:49:52,2021-06-20 11:53:31
42,bangsukat,ahmad_dewanto,18,2021-06-12 08:49:52,2021-06-20 11:53:31
43,luthfiblewuk,jnecare,19,2021-06-12 08:57:22,2021-06-20 11:53:31
44,puspen_tni,tjahjantohadi,20,2021-06-12 09:05:39,2021-06-20 11:53:31
45,tribun_kalteng,banjarmasinpost,21,2021-06-12 09:06:14,2021-06-20 11:53:31
46,protokolaceh,wanto89829710,22,2021-06-12 09:09:30,2021-06-20 11:53:31
47,acehnewsupdate,wanto89829710,23,2021-06-12 09:10:05,2021-06-20 11:53:31
48,_mediasiber,jokowi,24,2021-06-12 09:12:28,2021-06-20 11:53:31
49,_mediasiber,kabarterkini,24,2021-06-12 09:12:28,2021-06-20 11:53:31
50,denyspam,fadlizon,25,2021-06-12 09:12:44,2021-06-20 11:53:31
51,1626kodim,puspen_tni,26,2021-06-12 09:25:19,2021-06-20 11:53:31
52,1626kodim,bangli,26,2021-06-12 09:25:19,2021-06-20 11:53:31
53,1626kodim,infobali,26,2021-06-12 09:25:19,2021-06-20 11:53:31
54,1626kodim,kodam9udayana,26,2021-06-12 09:25:19,2021-06-20 11:53:31
55,1626kodim,pakaimasker,26,2021-06-12 09:25:19,2021-06-20 11:53:31
56,1626kodim,tni_ad,26,2021-06-12 09:25:19,2021-06-20 11:53:31
57,1626kodim,cucitangan,26,2021-06-12 09:25:19,2021-06-20 11:53:31
58,1626kodim,jagajarak,26,2021-06-12 09:25:19,2021-06-20 11:53:31
59,1626kodim,korem163wsa,26,2021-06-12 09:25:19,2021-06-20 11:53:31
60,farder11,tribunnews,27,2021-06-12 10:09:09,2021-06-20 11:53:31
61,daultgm,bernamatv,28,2021-06-12 10:51:45,2021-06-20 11:53:31
62,kota_tangerang,tng_tv,29,2021-06-12 10:55:56,2021-06-20 11:53:31
63,andarsofian,tiket,30,2021-06-12 10:57:33,2021-06-20 11:53:31
64,rutan_pinrang,wahyutrahutomo,31,2021-06-12 11:13:27,2021-06-20 11:53:31
65,rutan_pinrang,kemenkumham_ri,31,2021-06-12 11:13:27,2021-06-20 11:53:31
66,rutan_pinrang,pemkabpinrang,31,2021-06-12 11:13:27,2021-06-20 11:53:31
67,rutan_pinrang,ditjen_pas,31,2021-06-12 11:13:27,2021-06-20 11:53:31
68,rutan_pinrang,kumham_sulsel,31,2021-06-12 11:13:27,2021-06-20 11:53:31
69,rbonafida,jokowi,32,2021-06-12 11:17:47,2021-06-20 11:53:31
70,syahrudin_alam,jokowi,33,2021-06-12 11:53:20,2021-06-20 11:53:31
71,meilasandi,jokowi,34,2021-06-12 11:54:08,2021-06-20 11:53:31
72,fentika_95,jokowi,35,2021-06-12 11:54:41,2021-06-20 11:53:31
73,humaspoldaaceh,divhumas_polri,36,2021-06-12 12:18:27,2021-06-20 11:53:31
74,humaspoldaaceh,polripresisi,36,2021-06-12 12:18:27,2021-06-20 11:53:31
75,fentika_95,jokowi,37,2021-06-12 12:25:33,2021-06-20 11:53:31
76,meilasandi,jokowi,38,2021-06-12 12:26:17,2021-06-20 11:53:31
77,syahrudin_alam,jokowi,39,2021-06-12 12:26:41,2021-06-20 11:53:31
78,aceh_herald,aceh,40,2021-06-12 12:38:59,2021-06-20 11:53:31
79,rachelhosanna,txtdrbekasi,41,2021-06-12 13:11:40,2021-06-20 11:53:31
80,syahrudin_alam,jokowi,42,2021-06-12 13:32:14,2021-06-20 11:53:31
81,meilasandi,jokowi,43,2021-06-12 13:32:48,2021-06-20 11:53:31
82,fentika_95,jokowi,44,2021-06-12 13:33:15,2021-06-20 11:53:31
83,kimcipedes,humaspoldajbr,45,2021-06-12 13:41:18,2021-06-20 11:53:31
84,kimcipedes,humaspoldajbr,46,2021-06-12 13:42:09,2021-06-20 11:53:31
85,radioelshinta,lawancovid19_id,47,2021-06-12 14:25:00,2021-06-20 11:53:31
86,elshintategal_,ganjarpranowo,48,2021-06-12 14:40:00,2021-06-20 11:53:31
87,angel_l1n,jokowi,49,2021-06-12 15:03:06,2021-06-20 11:53:31
88,martinusnussah,shareaholic,50,2021-06-12 17:38:04,2021-06-20 11:53:31
89,drpriono1,jokowi,51,2021-06-12 19:18:22,2021-06-20 11:53:31
90,drpriono1,budigsadikin,51,2021-06-12 19:18:22,2021-06-20 11:53:31
91,lili_siani,infokabinetid,52,2021-06-12 19:56:51,2021-06-20 11:53:31
92,polres_pemalang,poldajateng_,53,2021-06-12 21:28:53,2021-06-20 11:53:31
93,polres_pemalang,divhumas_polri,53,2021-06-12 21:28:53,2021-06-20 11:53:31
94,polres_pemalang,rtri2000,53,2021-06-12 21:28:53,2021-06-20 11:53:31
95,radiortm_rasmi,jkjavmy,54,2021-06-12 21:30:56,2021-06-20 11:53:31
96,privowp,annuarmusa,55,2021-06-12 21:31:43,2021-06-20 11:53:31
97,privowp,tunfaisal,55,2021-06-12 21:31:43,2021-06-20 11:53:31
98,radar_malang,info_pemkabmlg,56,2021-06-12 21:32:52,2021-06-20 11:53:31
99,radar_malang,dinkeskabmalang,56,2021-06-12 21:32:52,2021-06-20 11:53:31
100,radar_malang,kabmalanginfo,56,2021-06-12 21:32:52,2021-06-20 11:53:31
101,mariachin,khairykj,57,2021-06-12 22:02:13,2021-06-20 11:53:31
102,mariachin,kkmputrajaya,57,2021-06-12 22:02:13,2021-06-20 11:53:31
103,mariachin,jkjavmy,57,2021-06-12 22:02:13,2021-06-20 11:53:31
104,kabargolkarnews,airlangga_hrt,58,2021-06-12 22:16:20,2021-06-20 11:53:31
105,myprop9,muhyiddinyassin,59,2021-06-12 22:22:38,2021-06-20 11:53:31
106,aurelnovelia,firzahusain,60,2021-06-12 22:34:10,2021-06-20 11:53:31
107,aurelnovelia,chusnulch__,60,2021-06-12 22:34:10,2021-06-20 11:53:31
108,aurelnovelia,love_ag4ever,60,2021-06-12 22:34:10,2021-06-20 11:53:31
109,aurelnovelia,yradianto,60,2021-06-12 22:34:10,2021-06-20 11:53:31
110,aurelnovelia,mahesatiwi,60,2021-06-12 22:34:10,2021-06-20 11:53:31
111,aurelnovelia,paltiwest,60,2021-06-12 22:34:10,2021-06-20 11:53:31
112,aurelnovelia,seruanhl,60,2021-06-12 22:34:10,2021-06-20 11:53:31
113,aurelnovelia,rizmaya__,60,2021-06-12 22:34:10,2021-06-20 11:53:31
114,aurelnovelia,billray2019,60,2021-06-12 22:34:10,2021-06-20 11:53:31
115,aurelnovelia,chusnulch__,61,2021-06-12 22:35:55,2021-06-20 11:53:31
116,aurelnovelia,love_ag4ever,61,2021-06-12 22:35:55,2021-06-20 11:53:31
117,aurelnovelia,yradianto,61,2021-06-12 22:35:55,2021-06-20 11:53:31
118,aurelnovelia,mahesatiwi,61,2021-06-12 22:35:55,2021-06-20 11:53:31
119,aurelnovelia,paltiwest,61,2021-06-12 22:35:55,2021-06-20 11:53:31
120,aurelnovelia,rizmaya__,61,2021-06-12 22:35:55,2021-06-20 11:53:31
121,aurelnovelia,billray2019,61,2021-06-12 22:35:55,2021-06-20 11:53:31
122,beritairn1,beritairn,62,2021-06-12 22:35:59,2021-06-20 11:53:31
123,aurelnovelia,seruanhl,63,2021-06-12 22:36:37,2021-06-20 11:53:31
124,aurelnovelia,chusnulch__,63,2021-06-12 22:36:37,2021-06-20 11:53:31
125,aurelnovelia,love_ag4ever,63,2021-06-12 22:36:37,2021-06-20 11:53:31
126,aurelnovelia,yradianto,63,2021-06-12 22:36:37,2021-06-20 11:53:31
127,aurelnovelia,mahesatiwi,63,2021-06-12 22:36:37,2021-06-20 11:53:31
128,aurelnovelia,paltiwest,63,2021-06-12 22:36:37,2021-06-20 11:53:31
129,aurelnovelia,rizmaya__,63,2021-06-12 22:36:37,2021-06-20 11:53:31
130,aurelnovelia,billray2019,63,2021-06-12 22:36:37,2021-06-20 11:53:31
131,aurelnovelia,firzahusain,63,2021-06-12 22:36:37,2021-06-20 11:53:31
132,aurelnovelia,paltiwest,64,2021-06-12 22:37:20,2021-06-20 11:53:31
133,aurelnovelia,rizmaya__,64,2021-06-12 22:37:20,2021-06-20 11:53:31
134,aurelnovelia,billray2019,64,2021-06-12 22:37:20,2021-06-20 11:53:31
135,aurelnovelia,chusnulch__,64,2021-06-12 22:37:20,2021-06-20 11:53:31
136,aurelnovelia,love_ag4ever,64,2021-06-12 22:37:20,2021-06-20 11:53:31
137,aurelnovelia,mahesatiwi,64,2021-06-12 22:37:20,2021-06-20 11:53:31
138,lantasresclg,lantasresclg,65,2021-06-12 22:38:14,2021-06-20 11:53:31
139,lantasresclg,divhumas_polri,65,2021-06-12 22:38:14,2021-06-20 11:53:31
140,aurelnovelia,firzahusain,66,2021-06-12 22:38:24,2021-06-20 11:53:31
141,aurelnovelia,chusnulch__,66,2021-06-12 22:38:24,2021-06-20 11:53:31
142,aurelnovelia,love_ag4ever,66,2021-06-12 22:38:24,2021-06-20 11:53:31
143,aurelnovelia,yradianto,66,2021-06-12 22:38:24,2021-06-20 11:53:31
144,aurelnovelia,mahesatiwi,66,2021-06-12 22:38:24,2021-06-20 11:53:31
145,aurelnovelia,paltiwest,66,2021-06-12 22:38:24,2021-06-20 11:53:31
146,aurelnovelia,rizmaya__,66,2021-06-12 22:38:24,2021-06-20 11:53:31
147,aurelnovelia,billray2019,66,2021-06-12 22:38:24,2021-06-20 11:53:31
148,aurelnovelia,seruanhl,66,2021-06-12 22:38:24,2021-06-20 11:53:31
149,aurelnovelia,rizmaya__,67,2021-06-12 22:40:57,2021-06-20 11:53:31
150,aurelnovelia,billray2019,67,2021-06-12 22:40:57,2021-06-20 11:53:31
151,aurelnovelia,seruanhl,67,2021-06-12 22:40:57,2021-06-20 11:53:31
152,aurelnovelia,firzahusain,67,2021-06-12 22:40:57,2021-06-20 11:53:31
153,aurelnovelia,chusnulch__,67,2021-06-12 22:40:57,2021-06-20 11:53:31
154,aurelnovelia,love_ag4ever,67,2021-06-12 22:40:57,2021-06-20 11:53:31
155,aurelnovelia,yradianto,67,2021-06-12 22:40:57,2021-06-20 11:53:31
156,aurelnovelia,mahesatiwi,67,2021-06-12 22:40:57,2021-06-20 11:53:31
157,aurelnovelia,paltiwest,67,2021-06-12 22:40:57,2021-06-20 11:53:31
158,aurelnovelia,firzahusain,68,2021-06-12 22:41:36,2021-06-20 11:53:31
159,aurelnovelia,chusnulch__,68,2021-06-12 22:41:36,2021-06-20 11:53:31
160,aurelnovelia,love_ag4ever,68,2021-06-12 22:41:36,2021-06-20 11:53:31
161,aurelnovelia,yradianto,68,2021-06-12 22:41:36,2021-06-20 11:53:31
162,aurelnovelia,mahesatiwi,68,2021-06-12 22:41:36,2021-06-20 11:53:31
163,aurelnovelia,paltiwest,68,2021-06-12 22:41:36,2021-06-20 11:53:31
164,aurelnovelia,rizmaya__,68,2021-06-12 22:41:36,2021-06-20 11:53:31
165,aurelnovelia,billray2019,68,2021-06-12 22:41:36,2021-06-20 11:53:31
166,aurelnovelia,seruanhl,68,2021-06-12 22:41:36,2021-06-20 11:53:31
167,aurelnovelia,billray2019,69,2021-06-12 22:42:15,2021-06-20 11:53:31
168,aurelnovelia,seruanhl,69,2021-06-12 22:42:15,2021-06-20 11:53:31
169,aurelnovelia,firzahusain,69,2021-06-12 22:42:15,2021-06-20 11:53:31
170,aurelnovelia,chusnulch__,69,2021-06-12 22:42:15,2021-06-20 11:53:31
171,aurelnovelia,love_ag4ever,69,2021-06-12 22:42:15,2021-06-20 11:53:31
172,aurelnovelia,yradianto,69,2021-06-12 22:42:15,2021-06-20 11:53:31
